127.0.0.1 - - [20/Feb/2014:00:54:34 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:54:35 +0800] "GET /SpringJDBCTemplate/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:54:36 +0800] "GET /SpringJDBCTemplate/home HTTP/1.1" 200 2311
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:54:41 +0800] "GET /SpringJDBCTemplate/materials HTTP/1.1" 500 12987
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:54:47 +0800] "GET /SpringJDBCTemplate/materials HTTP/1.1" 500 12987
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:07 +0800] "GET /SpringJDBCTemplate/materials HTTP/1.1" 500 12987
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:09 +0800] "GET /SpringJDBCTemplate/materials HTTP/1.1" 500 12987
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:11 +0800] "GET /SpringJDBCTemplate/materials HTTP/1.1" 500 12987
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:13 +0800] "GET /SpringJDBCTemplate/materials HTTP/1.1" 500 12987
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:24 +0800] "GET /SpringJDBCTemplate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:24 +0800] "GET /SpringJDBCTemplate/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:24 +0800] "GET /SpringJDBCTemplate/home HTTP/1.1" 200 2311
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:31 +0800] "GET /SpringJDBCTemplate/materials HTTP/1.1" 200 4924
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:31 +0800] "GET /SpringJDBCTemplate/materials HTTP/1.1" 200 4924
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:31 +0800] "GET /SpringJDBCTemplate/materials HTTP/1.1" 200 4924
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:31 +0800] "GET /SpringJDBCTemplate/materials HTTP/1.1" 200 4924
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:31 +0800] "GET /SpringJDBCTemplate/materials HTTP/1.1" 200 4924
0:0:0:0:0:0:0:1 - - [20/Feb/2014:00:55:37 +0800] "GET /SpringJDBCTemplate/subfolder?id=CS%20172 HTTP/1.1" 200 936
